Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2017 Q2,Gross - Direct Business,Non-Life,R0410,5.329738,20250930,38
AUSTRIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.025382,20250930,38
AUSTRIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,38
AUSTRIA,2017 Q2,Reinsurers' share,Non-Life,R0440,0.154271,20250930,38
AUSTRIA,2017 Q2,Net,Non-Life,R0500,5.20085,20250930,38
AUSTRIA,2017 Q2,Expenses incurred,Non-Life,R0550,876.898718,20250930,38
AUSTRIA,2017 Q2,Other expenses,Non-Life,R1200,417.679745,20250930,38
AUSTRIA,2017 Q2,Balance - other technical expenses/income,Non-Life,R1210,,20250930,38
AUSTRIA,2017 Q2,Total technical expenses,Non-Life,R1300,1294.578463,20250930,38
AUSTRIA,2017 Q2,Premiums written,Life,R1401,,20250930,38
AUSTRIA,2017 Q2,Premiums earned,Life,R1501,,20250930,38
AUSTRIA,2017 Q2,Claims incurred,Life,R1601,,20250930,38
AUSTRIA,2017 Q2,Changes in other technical provisions,Life,R1701,,20250930,38
AUSTRIA,2017 Q2,Net Combined Ratio,Non-Life,Z0001,0.82,20250930,38
AUSTRIA,2017 Q2,Net Expense Ratio,Non-Life,Z0002,0.23,20250930,38
AUSTRIA,2017 Q3,Premiums written,Non-Life,R0101,,20250930,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0110,7231.419865,20250930,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,1250.401929,20250930,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,25.492976,20250930,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0140,2552.770644,20250930,38
AUSTRIA,2017 Q3,Net,Non-Life,R0200,5954.544126,20250930,38
AUSTRIA,2017 Q3,Premiums earned,Non-Life,R0201,,20250930,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0210,6873.904252,20250930,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,1209.26077,20250930,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,25.562833,20250930,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0240,2420.381639,20250930,38
AUSTRIA,2017 Q3,Net,Non-Life,R0300,5688.346217,20250930,38
AUSTRIA,2017 Q3,Claims incurred,Non-Life,R0301,,20250930,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0310,4368.430606,20250930,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0320,780.830237,20250930,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,40.9302,20250930,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0340,1594.027629,20250930,38
AUSTRIA,2017 Q3,Net,Non-Life,R0400,3596.163413,20250930,38
AUSTRIA,2017 Q3,Changes in other technical provisions,Non-Life,R0401,,20250930,38
AUSTRIA,2017 Q3,Gross - Direct Business,Non-Life,R0410,-15.950425,20250930,38
AUSTRIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.00819,20250930,38
AUSTRIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,38
AUSTRIA,2017 Q3,Reinsurers' share,Non-Life,R0440,0.150732,20250930,38
AUSTRIA,2017 Q3,Net,Non-Life,R0500,-16.092967,20250930,38
AUSTRIA,2017 Q3,Expenses incurred,Non-Life,R0550,1280.743565,20250930,38
AUSTRIA,2017 Q3,Other expenses,Non-Life,R1200,618.884634,20250930,38
AUSTRIA,2017 Q3,Balance - other technical expenses/income,Non-Life,R1210,,20250930,38
AUSTRIA,2017 Q3,Total technical expenses,Non-Life,R1300,1899.6282,20250930,38
AUSTRIA,2017 Q3,Premiums written,Life,R1401,,20250930,38
AUSTRIA,2017 Q3,Premiums earned,Life,R1501,,20250930,38
AUSTRIA,2017 Q3,Claims incurred,Life,R1601,,20250930,38
AUSTRIA,2017 Q3,Changes in other technical provisions,Life,R1701,,20250930,38
AUSTRIA,2017 Q3,Net Combined Ratio,Non-Life,Z0001,0.86,20250930,38
AUSTRIA,2017 Q3,Net Expense Ratio,Non-Life,Z0002,0.23,20250930,38
AUSTRIA,2017 Q4,Premiums written,Non-Life,R0101,,20250930,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0110,9112.244164,20250930,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,1073.52628,20250930,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,10.922337,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0140,2961.498308,20250930,37
AUSTRIA,2017 Q4,Net,Non-Life,R0200,7235.194473,20250930,37
AUSTRIA,2017 Q4,Premiums earned,Non-Life,R0201,,20250930,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0210,9094.690121,20250930,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,1058.49295,20250930,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,10.921502,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0240,2947.257382,20250930,37
AUSTRIA,2017 Q4,Net,Non-Life,R0300,7216.847192,20250930,37
AUSTRIA,2017 Q4,Claims incurred,Non-Life,R0301,,20250930,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0310,5799.11388,20250930,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0320,672.06799,20250930,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,9.153758,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0340,2022.806225,20250930,37
AUSTRIA,2017 Q4,Net,Non-Life,R0400,4457.529403,20250930,37
AUSTRIA,2017 Q4,Changes in other technical provisions,Non-Life,R0401,,20250930,37
AUSTRIA,2017 Q4,Gross - Direct Business,Non-Life,R0410,-19.139863,20250930,37
AUSTRIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.288984,20250930,37
AUSTRIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Non-Life,R0440,1.357529,20250930,37
AUSTRIA,2017 Q4,Net,Non-Life,R0500,-20.208408,20250930,37
AUSTRIA,2017 Q4,Expenses incurred,Non-Life,R0550,1653.045014,20250930,37
AUSTRIA,2017 Q4,Other expenses,Non-Life,R1200,913.906605,20250930,37
AUSTRIA,2017 Q4,Balance - other technical expenses/income,Non-Life,R1210,,20250930,37
AUSTRIA,2017 Q4,Total technical expenses,Non-Life,R1300,2566.951619,20250930,37
AUSTRIA,2017 Q4,Premiums written,Life,R1401,,20250930,37
AUSTRIA,2017 Q4,Gross,Life,R1410,7921.073217,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1420,170.883505,20250930,37
AUSTRIA,2017 Q4,Net,Life,R1500,7750.189711,20250930,37
AUSTRIA,2017 Q4,Premiums earned,Life,R1501,,20250930,37
AUSTRIA,2017 Q4,Gross,Life,R1510,7943.003903,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1520,171.463216,20250930,37
AUSTRIA,2017 Q4,Net,Life,R1600,7771.540687,20250930,37
AUSTRIA,2017 Q4,Claims incurred,Life,R1601,,20250930,37
AUSTRIA,2017 Q4,Gross,Life,R1610,7750.325177,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1620,145.019276,20250930,37
AUSTRIA,2017 Q4,Net,Life,R1700,7605.305902,20250930,37
AUSTRIA,2017 Q4,Changes in other technical provisions,Life,R1701,,20250930,37
AUSTRIA,2017 Q4,Gross,Life,R1710,893.151212,20250930,37
AUSTRIA,2017 Q4,Reinsurers' share,Life,R1720,40.894053,20250930,37
AUSTRIA,2017 Q4,Net,Life,R1800,852.257159,20250930,37
AUSTRIA,2017 Q4,Expenses incurred,Life,R1900,914.78828,20250930,37
AUSTRIA,2017 Q4,Other expenses,Life,R2500,305.930482,20250930,37
AUSTRIA,2017 Q4,Balance - other technical expenses/income,Life,R2510,,20250930,37
AUSTRIA,2017 Q4,Total technical expenses,Life,R2600,1220.718762,20250930,37
AUSTRIA,2017 Q4,Net Combined Ratio,Non-Life,Z0001,0.85,20250930,37
AUSTRIA,2017 Q4,Net Expense Ratio,Non-Life,Z0002,0.23,20250930,37
AUSTRIA,2018 Q1,Premiums written,Non-Life,R0101,,20250930,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0110,3129.339216,20250930,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,340.689113,20250930,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,6.916181,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0140,941.777967,20250930,37
AUSTRIA,2018 Q1,Net,Non-Life,R0200,2535.166543,20250930,37
AUSTRIA,2018 Q1,Premiums earned,Non-Life,R0201,,20250930,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0210,2372.513346,20250930,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,305.603902,20250930,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,6.649602,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0240,702.327998,20250930,37
AUSTRIA,2018 Q1,Net,Non-Life,R0300,1982.438853,20250930,37
AUSTRIA,2018 Q1,Claims incurred,Non-Life,R0301,,20250930,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0310,1289.202783,20250930,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,181.386736,20250930,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,9.778303,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0340,361.203363,20250930,37
AUSTRIA,2018 Q1,Net,Non-Life,R0400,1119.164459,20250930,37
AUSTRIA,2018 Q1,Changes in other technical provisions,Non-Life,R0401,,20250930,37
AUSTRIA,2018 Q1,Gross - Direct Business,Non-Life,R0410,-12.817066,20250930,37
AUSTRIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0420,-0.016633,20250930,37
AUSTRIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Non-Life,R0440,-0.467587,20250930,37
AUSTRIA,2018 Q1,Net,Non-Life,R0500,-12.366112,20250930,37
AUSTRIA,2018 Q1,Expenses incurred,Non-Life,R0550,485.417197,20250930,37
AUSTRIA,2018 Q1,Other expenses,Non-Life,R1200,232.193094,20250930,37
AUSTRIA,2018 Q1,Balance - other technical expenses/income,Non-Life,R1210,,20250930,37
AUSTRIA,2018 Q1,Total technical expenses,Non-Life,R1300,717.610291,20250930,37
AUSTRIA,2018 Q1,Premiums written,Life,R1401,,20250930,37
AUSTRIA,2018 Q1,Gross,Life,R1410,2119.946815,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1420,41.854814,20250930,37
AUSTRIA,2018 Q1,Net,Life,R1500,2078.092001,20250930,37
AUSTRIA,2018 Q1,Premiums earned,Life,R1501,,20250930,37
AUSTRIA,2018 Q1,Gross,Life,R1510,2029.224935,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1520,41.911163,20250930,37
AUSTRIA,2018 Q1,Net,Life,R1600,1987.313772,20250930,37
AUSTRIA,2018 Q1,Claims incurred,Life,R1601,,20250930,37
AUSTRIA,2018 Q1,Gross,Life,R1610,2051.258727,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1620,30.335968,20250930,37
AUSTRIA,2018 Q1,Net,Life,R1700,2020.922759,20250930,37
AUSTRIA,2018 Q1,Changes in other technical provisions,Life,R1701,,20250930,37
AUSTRIA,2018 Q1,Gross,Life,R1710,367.735073,20250930,37
AUSTRIA,2018 Q1,Reinsurers' share,Life,R1720,5.325155,20250930,37
AUSTRIA,2018 Q1,Net,Life,R1800,362.409918,20250930,37
AUSTRIA,2018 Q1,Expenses incurred,Life,R1900,247.431607,20250930,37
AUSTRIA,2018 Q1,Other expenses,Life,R2500,74.214512,20250930,37
AUSTRIA,2018 Q1,Balance - other technical expenses/income,Life,R2510,,20250930,37
AUSTRIA,2018 Q1,Total technical expenses,Life,R2600,321.64612,20250930,37
AUSTRIA,2018 Q1,Net Combined Ratio,Non-Life,Z0001,0.81,20250930,37
AUSTRIA,2018 Q1,Net Expense Ratio,Non-Life,Z0002,0.24,20250930,37
AUSTRIA,2018 Q2,Premiums written,Non-Life,R0101,,20250930,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0110,5381.477501,20250930,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0120,656.101548,20250930,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,8.067541,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0140,1581.79063,20250930,36
AUSTRIA,2018 Q2,Net,Non-Life,R0200,4463.85596,20250930,36
AUSTRIA,2018 Q2,Premiums earned,Non-Life,R0201,,20250930,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0210,4762.204696,20250930,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0220,613.021426,20250930,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,7.890341,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0240,1381.604501,20250930,36
AUSTRIA,2018 Q2,Net,Non-Life,R0300,4001.511963,20250930,36
AUSTRIA,2018 Q2,Claims incurred,Non-Life,R0301,,20250930,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0310,2643.359624,20250930,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0320,381.703551,20250930,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,16.518088,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0340,743.523006,20250930,36
AUSTRIA,2018 Q2,Net,Non-Life,R0400,2298.058258,20250930,36
AUSTRIA,2018 Q2,Changes in other technical provisions,Non-Life,R0401,,20250930,36
AUSTRIA,2018 Q2,Gross - Direct Business,Non-Life,R0410,-18.50501,20250930,36
AUSTRIA,2018 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0420,-0.030976,20250930,36
AUSTRIA,2018 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Non-Life,R0440,-0.931837,20250930,36
AUSTRIA,2018 Q2,Net,Non-Life,R0500,-17.604149,20250930,36
AUSTRIA,2018 Q2,Expenses incurred,Non-Life,R0550,923.052266,20250930,36
AUSTRIA,2018 Q2,Other expenses,Non-Life,R1200,435.119555,20250930,36
AUSTRIA,2018 Q2,Balance - other technical expenses/income,Non-Life,R1210,,20250930,36
AUSTRIA,2018 Q2,Total technical expenses,Non-Life,R1300,1358.171821,20250930,36
AUSTRIA,2018 Q2,Premiums written,Life,R1401,,20250930,36
AUSTRIA,2018 Q2,Gross,Life,R1410,4026.266828,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1420,82.125855,20250930,36
AUSTRIA,2018 Q2,Net,Life,R1500,3944.140974,20250930,36
AUSTRIA,2018 Q2,Premiums earned,Life,R1501,,20250930,36
AUSTRIA,2018 Q2,Gross,Life,R1510,3986.069041,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1520,83.368861,20250930,36
AUSTRIA,2018 Q2,Net,Life,R1600,3902.70018,20250930,36
AUSTRIA,2018 Q2,Claims incurred,Life,R1601,,20250930,36
AUSTRIA,2018 Q2,Gross,Life,R1610,4000.756844,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1620,61.241469,20250930,36
AUSTRIA,2018 Q2,Net,Life,R1700,3939.515374,20250930,36
AUSTRIA,2018 Q2,Changes in other technical provisions,Life,R1701,,20250930,36
AUSTRIA,2018 Q2,Gross,Life,R1710,408.712729,20250930,36
AUSTRIA,2018 Q2,Reinsurers' share,Life,R1720,6.676059,20250930,36
AUSTRIA,2018 Q2,Net,Life,R1800,402.03667,20250930,36
AUSTRIA,2018 Q2,Expenses incurred,Life,R1900,507.592418,20250930,36
AUSTRIA,2018 Q2,Other expenses,Life,R2500,149.772354,20250930,36
AUSTRIA,2018 Q2,Balance - other technical expenses/income,Life,R2510,,20250930,36
AUSTRIA,2018 Q2,Total technical expenses,Life,R2600,657.364772,20250930,36
AUSTRIA,2018 Q2,Net Combined Ratio,Non-Life,Z0001,0.8,20250930,36
AUSTRIA,2018 Q2,Net Expense Ratio,Non-Life,Z0002,0.23,20250930,36
AUSTRIA,2018 Q3,Premiums written,Non-Life,R0101,,20250930,35
AUSTRIA,2018 Q3,Gross - Direct Business,Non-Life,R0110,7489.690077,20250930,35
AUSTRIA,2018 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,952.37104,20250930,35
AUSTRIA,2018 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,8.514823,20250930,35
AUSTRIA,2018 Q3,Reinsurers' share,Non-Life,R0140,2195.606516,20250930,35
AUSTRIA,2018 Q3,Net,Non-Life,R0200,6254.969424,20250930,35
AUSTRIA,2018 Q3,Premiums earned,Non-Life,R0201,,20250930,35
AUSTRIA,2018 Q3,Gross - Direct Business,Non-Life,R0210,7115.480023,20250930,35
AUSTRIA,2018 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,926.77417,20250930,35
AUSTRIA,2018 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,8.426554,20250930,35
AUSTRIA,2018 Q3,Reinsurers' share,Non-Life,R0240,2078.614236,20250930,35
AUSTRIA,2018 Q3,Net,Non-Life,R0300,5972.066511,20250930,35
AUSTRIA,2018 Q3,Claims incurred,Non-Life,R0301,,20250930,35
AUSTRIA,2018 Q3,Gross - Direct Business,Non-Life,R0310,4085.369345,20250930,35
AUSTRIA,2018 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0320,584.632908,20250930,35
